Nom;ID Producte;Preu;Promocions;Data
Barritas de cereales NESTLÉ Lion, caja 150 g;343680;2,75€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cóctel fruta almíbar FRUITS DE PONENT, bote 840 g;338061;1,55€/u;['Precio Oferta', 'Producto de Segrià'];11_04_2021
Arroz risotto carnaroli EROSKI, paquete 1 kg;343772;1,49€/u;['Precio Oferta', 'Eroski', 'Producto nuevo'];11_04_2021
Fuet extra ORGANYA, pieza al peso;30099;17,65€/Kg;['Precio Oferta', 'Recién cortado'];11_04_2021
Longaniza de Pagés OBACH, al corte, pieza aprox. 450 g;30706;20,80€/Kg;['Precio Oferta', 'Recién cortado'];11_04_2021
Café molido Colombia BONKA, paquete 250 g;154101;2,75€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Caldo de carne La Abuela KNORR, brik 1 litro;257645;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Lay's horno Patatas fritas al horno 150g;277714;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café en grano puro arábica BONKA, paquete 500 g;349364;5,99€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Café molido descafeinado BONKA, paquete 250 g + 10%;154199;3,09€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Café molido natural BONKA, paquete 250 g + 10%;154180;1,98€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Alvalle Gazpacho suave 1l;224906;3,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Galleta Digestive Finas de chocolate negro FONTANEDA, caja 170 g;339203;1,77€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Mouse de chocolate y almendra ALPRO, pack 2x70 g;350884;1,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Tortelloni con queso GALLO, bandeja 200 g;307568;1,28€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Café Colombiano de avena 207g;339056;1,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Air Wick Ambientador spray pure Flor 250ml;323938;4,40€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Big pot avena arándanos ALPRO, 350 g;348386;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Recetas Artesanas Croquetas cocido jamón serrano500g;113467;3,69€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Estrella Damm Cerveza pack 24x25cl;327194;13,29€/u;['Productos catalanes'];11_04_2021
Alpro Yogur soja piña maracuya 4x125g;331554;1,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Yogur de coco natural ALPRO, tarrina 350 g;350885;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Hélices integrales GALLO, paquete 450 g;348576;1,26€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Plumas rayadas integrales GALLO, paquete 450 g;348577;1,26€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Bolsita de naranja-plátano-galleta HERO, pack 4x100 g;345472;3,90€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Bolsita de yogur-plátano-fresa HERO pack 4x100 g;345473;3,90€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Findus Guisantes finos 400g;909556;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Recetas Artesanas Lasaña boloñesa 530g;913786;4,09€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Findus Espinacas 400g;909300;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Font Vella agua mineral natural 1l;261113;0,60€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Suavizante concentrado nenuco FLOR, botella 72 dosis;249040;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Pañuelo de papel mini collection KLEENEX, paquete 15 uds.;282281;1,80€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alvalle Salmorejo 1l;288250;3,75€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Scottex Mocadors regular 3 capes caixa 86u;280055;1,15€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Nuez grano sin cáscara BORGES, bolsa 130 g;297244;3,13€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Ultima Perro mini adulto pollo 3kg;289524;9,95€/u;['Precio Oferta'];11_04_2021
Air Wick Ambientador eléctrico aparato + recambio Nenuco;276546;4,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Actimel L-casei natural Danone 12x100ml;267992;5,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Actimel L-casei desnatado natural Danone 12x100ml;284473;5,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Helado de vainilla CARTE D'OR, tarrina 431 g;345338;1,99€/u;['Precio Oferta'];11_04_2021
Helado de chocolate CARTE D'OR, tarrina 450 g;345339;1,99€/u;['Precio Oferta'];11_04_2021
Estrella Damm Cerveza lata 12x33cl;220055;7,32€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Ligeresa Salsafina frasco 450ml;536008;1,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Free Damm Cerveza 0,0% lata 33cl;147765;0,50€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Bonito del norte en aceitede oliva MASSO, lata 50 g;335703;2,09€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café de almendra ALPRO, vaso 206 g;338282;1,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Galleta con pepitas de chocolate CHIPS AHOY| Mini, caja 320 g;337146;2,77€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Ravioli de carne GALLO, paquete 500 g;322174;1,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Scottex Papel higiénico 16 rollos;308926;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur soja chocolate 4x125g;331557;1,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur soja frutos rojos 4x125g;331558;1,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Dixan Detergente líquido adios separar 40d;332218;7,75€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café molido ecológico sostenible BONKA, paquete 220 g;344398;2,99€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Flor Suavizante elixir azul 50 lavados;333382;4,15€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Calvé Salsa rosa 225ml;20871;1,11€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur soja con coco 500g;336128;1,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Hellmann's Mayonesa frasco 450ml;536565;1,77€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Airwick Ambientador automático essential mist nenuco rec.20ml;337522;5,65€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Preparado de vainilla ALPRO, tarrina 500 g;341514;2,25€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Quitamanchas en polvo VANISH Oxi Action, bote 450 g;341635;4,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Lavavajillas FINISH Quatum Ultimate, bolsa 16 dosis;340129;7,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Detergente frescor loto de bali&pachuli DIXAN, garrafa 40 dosis;333163;7,55€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Pañuelos facial Kleenex collection 1u;167468;1,66€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Bonka Café molido mezcla 70/30+10% 275g;154130;1,98€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Caldo de pollo La Abuela KNORR, brik 1 litro;257646;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café cortado NESCAFÉ Dolce Gusto, caja 30 monodosis;335918;7,82€/u;[];11_04_2021
Café con leche NESCAFÉ Dolce Gusto, caja 30 monodosis;335921;7,82€/u;[];11_04_2021
L'Oreal Crema hidratante HydraEnergetic Men expert 50ml;236510;7,87€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Salmón ahumado ROYAL, sobre 80 g;334317;4,40€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Knorr Sopa de cebolla 46g;472042;0,74€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Lavavajillas máquina FINISH Quantum Max, bolsa 27+13 dosis;338713;15,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Findus Brócoli 360g;336413;2,15€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur de mango sin azúcares añadidos 400g;339068;2,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Findus Ensaladilla 400g;909157;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Española Aceitunas negras 210g;128724;1,55€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Spaghetti integral GALLO, paquete 450 g;348578;1,26€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Yogur de lima limón ALPRO, brik 750 g;346298;2,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Bocabits Aperitivo de trigo frito con sabor a carne 84g;31463;1,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Lays Conos 3 D'S queso y bacon 100g;331635;1,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cuca Atun claro fco 180g;333127;4,39€/u;['Precio Oferta'];11_04_2021
Burn Bebida energética zero 50cl;279652;1,02€/u;['Precio Oferta'];11_04_2021
Abrillantador lavavajillas FINISH, botella 500 ml;256804;4,47€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Actimel L-casei de fresa Danone 12x100ml;267991;5,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Patatas fritas premium LAY'S Gourmet, bolsa 180 g;265734;2,29€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Scottex Papel higienico humedo 74u;295983;2,70€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Isabel Sardinilla aceite de oliva 57g;302397;1,19€/u;['Precio Oferta'];11_04_2021
Findus Espinacas con pasas y piñones 400g;284646;3,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Air Wick Ambientador automático recambio Fresh Matic Nenuco;282231;4,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Gazpacho gourmet con almendras ALVALLE, brik 1 litro;276966;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Burn Bebida energética lata 50cl;295034;1,11€/u;['Precio Oferta'];11_04_2021
Nachos de maíz DORITOS Tex Mex, bolsa 260 g;349137;2,70€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Pañuelo original SCOTTEX, paquete 8+2 uds.;292444;0,97€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Lasaña de champiñones y boletus 500g;339430;4,09€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café de soja-caramelo ALPRO, vaso 206 g;338279;1,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Quitamanchas en polvo ropa blanca VANISH Oxi Action, bote 450 g;341602;4,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Skyr de fresa ALPRO, tarrina 400 g;344281;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Detergente líquido Adios al Separar MICOLOR , garrafa 30 dosis;344296;6,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Ñoqui de patata GALLO, bandeja 400 g;307566;1,28€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Tortelloni con carne GALLO, bandeja 200 g;307567;1,28€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Skyr natural ALPRO, tarrina 400 g;344280;2,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Limpia máquinas lavavajillas FINISH, botella 250 ml;36041;3,44€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Canelones de carne 250g;336452;2,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Knorr Caldo casero de pollo 1l;336655;1,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Calve Salsa fina casera 500ml;313178;1,48€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Findus Espinacas cortadas 400g;1818;1,85€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Finish Ambientador limón lavavajillas;1896;2,94€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café molido natural espresso BONKA, paquete 250 g;45479;2,75€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Fontaneda Galleta buena maria canela 400g;331332;2,18€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur soja con avena 500g;336125;1,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Scottex hig.húme.aloe c/tapa 70u;322555;2,79€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Fideo nº1 integral GALLO NATURE, paquete 400 g;343019;1,34€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Dixan Detergente líquido 40d;332217;7,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Air Wick Ambientador spray pure Nenuco 1u;316797;4,40€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
La Cocinera Croquetas artesanas jamón iberico 400g;317425;3,69€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Alpro Yogur soja de vainilla 4x125g;340314;1,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Café espresso intenso NESCAFÉ Dolce Gusto, caja 30 monodosis;335934;7,82€/u;[];11_04_2021
Suavizante concentrado azul FLOR, botella 72 dosis;319381;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Margarina LIGERESA, tarrina 250 g;341028;0,99€/u;['Precio Oferta'];11_04_2021
Vino Tinto Crianza De La Tierra CARTA DE PLATA, botella 75 cl;117903;3,69€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Silueta Pan integral sin corteza 450g;157407;2,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Ginebra BEEFEATER, botella 70 cl;249793;12,00€/u;['Precio Oferta'];11_04_2021
Mejillón al vapor EROSKI, bolsa 1 kg;161553;5,45€/u;['70% Descuento en la 2ª Unidad', 'Eroski', 'Sin gluten'];11_04_2021
Pants noche niña 4-7 años 17-30 kg DRYNITES, paquete 16 uds.;250576;13,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Pantene Acondicionador aqualight 300ml;314099;4,00€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Aneto Caldo natural jamón brik 1l;173275;3,59€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Arias Queso fresco original 460g;198768;4,22€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Aftersun ECRAN, bote 400 ml;151806;5,98€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Mistol Lavavajillas concentrado Ultra Plus 600ml;136958;1,47€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Biscrock para perro PEDIGREE, caja 500 g;159753;2,11€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Ballantine's Whisky 1l;126385;14,49€/u;['Precio Oferta'];11_04_2021
J&B Whisky 1l;126327;14,19€/u;['Precio Oferta'];11_04_2021
Serpis Aceitunas rellenas Benefit 75% menos sal 130g;276552;1,57€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Diadermine Leche limpiadora 250ml;56990;4,69€/u;['Precio Oferta'];11_04_2021
Eroski Lentejas con chorizo 425g;270304;1,09€/u;['70% Descuento en la 2ª Unidad', 'Eroski'];11_04_2021
Eroski Agua con gas botella 1,25l;270435;0,64€/u;['70% Descuento en la 2ª Unidad', 'Eroski'];11_04_2021
Vino blanco viura verdejo D.O. Rueda BLUME, botella 75 cl;256814;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Oleaurum Aceite virgen extra Siurana lata 50cl;307165;5,45€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
President Camembert porciones 250g;51691;3,59€/u;['Precio Oferta'];11_04_2021
Diadermine Tónico sin alcohol 250ml;56991;4,69€/u;['Precio Oferta'];11_04_2021
President Camembert entero 250g;51690;3,59€/u;['Precio Oferta'];11_04_2021
Pants de incontinencia plus Talla M TENA, paquete 14 uds;289827;15,00€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Dr. Oetker Decomagia fantasia 78g;288963;3,53€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Diadermine Toallitas desmaquilladoras 20u;32108;2,17€/u;['Precio Oferta'];11_04_2021
Granini Néctar de naranja 1,5l;254424;2,99€/u;['Precio Oferta'];11_04_2021
Frit Ravich Cocktail sin cáscara 180g;294055;1,35€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Joan Sarda Vino tinto cabernet D.O. Penedés 75cl;288274;7,99€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Nestlé Lion Cereales desayuno 400g;295636;2,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Caramelos de palo CHUPA CHUPS, 10 uds., bolsa 120 g;190810;1,57€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Scottex Papel de cocina gigante 2 = 6 rollos;321935;2,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Crema de cacao 1 sabor NOCILLA, bote 715 g;347392;4,88€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Celta Leche semidesnatada brik 1,5l;38071;1,09€/u;['Precio Oferta'];11_04_2021
Borges Aceite girasol 1l;121750;1,88€/u;['50% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Potito de manzana-plátano bio NESTLÉ, tarro 190 g;343213;1,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Queso natural con nata KIRI, 6 porciones, caja 108 g;343193;2,05€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Artiach Galletas Chiquilin energy 5 packs 200g;156021;2,25€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Ibsa Fritada de tomate frasco 430g;330653;1,28€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Quaker Copos de avena integral 500g;331069;2,24€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Dr.Oetker Pizza prosciutto 210g;267353;3,51€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Leche condensada desna. s/ lactosa LA LECHERA, dosificador 450 g;334178;1,99€/u;['Precio Oferta'];11_04_2021
Bimbo Panecillo artesano 4u;339385;1,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cepillo Pro-Flex ORAL-B Pro-Expert, pack 1 ud;299348;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Desinfectante cocina desengrasante sin aclaradoZAS, pistola750ml;231428;2,75€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Campofrio Pechuga pavo finas lonchas 115g;159433;1,65€/u;['Precio Oferta'];11_04_2021
La Vaca Que Ríe Queso light 16 porciones 250g;482545;2,15€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Kellogg's Cereales choco Krispies 450g;338579;2,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Potito de frutas variadas bio NESTLÉ, tarro 190 g;343215;1,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Huevo fresco L suelo cesta ROIG, cartón 8 uds.;24663;2,15€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Pepinillos en vinagre SARASA, tarrina 400 g;336295;2,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Eroski Suavizante concentrado Aire de rocio 72 lavados;271011;1,59€/u;['Precio Oferta', 'Eroski'];11_04_2021
Granini Néctar de piña 1,5l;255333;2,99€/u;['Precio Oferta'];11_04_2021
Fructis Champú raíces grasas 360ml;325339;3,89€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Detergente líquido ARIEL Sensaciones, garrafa 40 dosis;334690;13,90€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Tendral Vino tinto D.O. Priorat 75cl;133220;8,99€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Gutarra Corazones de alcachofas mitades frasco 660g;357765;5,82€/u;['70% Descuento en la 2ª Unidad', 'Productos de Navarra'];11_04_2021
Detergente en polvo COLON, maleta 50 dosis;323109;13,79€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Compta Ovelles Vino tinto D.O. Penedés  75cl;323878;4,99€/u;['50% Descuento en la 2ª Unidad'];11_04_2021
Ferrer Pimiento escalivado 350g;29461;2,29€/u;['Precio Oferta'];11_04_2021
Frit Ravich Palomitas colores 120g;265732;0,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cacao en polvo intenso 70% NESQUIK, lata 300 g;348586;3,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Galleta de sésamo GERBLÉ, caja 230 g;527800;1,93€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Campofrío Salchichas Bratwurst 260g;493160;2,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Rovellats Cava Brut Imperial 75cl. PENEDÈS;294439;8,99€/u;['Precio Oferta', 'Producto del Alt Penedès'];11_04_2021
Barilla Spaguettoni nº 7 500g;562831;1,46€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Barilla Penne Rigate 500g;562863;1,49€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Cerveza 0,0 AMSTEL Oro, lata 33 cl;341829;0,64€/u;['Compra 4 uni. 0,57 € de descuento'];11_04_2021
Cerveza 0.0 tostada AMSTEL RADLER, lata 33 cl;346191;0,62€/u;['Compra 4 uni. 0,57 € de descuento'];11_04_2021
Mix de frutos secos crudos EROSKI, tarrina 175 g;333995;2,00€/u;['Precio Oferta', 'Eroski', 'Producto nuevo'];11_04_2021
Torres Vino blanco 75cl;283673;6,99€/u;['Precio Oferta'];11_04_2021
Vino Blanco D.O. Cataluña TORRES VIÑA SOL, botella 75 cl;283703;4,99€/u;['Precio Oferta'];11_04_2021
Viña Albali Vino tinto reserva D.O. Valdepeñas 75cl;20631;3,15€/u;['Precio Oferta'];11_04_2021
Torres Vino tinto D.O. Cataluña Sangre de Toro 75cl;283606;3,99€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Ferrer Setas variadas frasco 200g;25480;1,59€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Galletas de leche-chocolate GERBLÉ, caja 230 g;527805;1,93€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Eroski Chocolate negro 74% 100g;270869;1,20€/u;['Precio Oferta', 'Eroski'];11_04_2021
Bimbo Pan de molde sin corteza 480g;118478;2,09€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Kellogg's Cereales Special K 500g;38036;2,99€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Celta Leche sin lactosa desnatada 1l;312061;0,85€/u;['Precio Oferta'];11_04_2021
Salsa Brava Picante MOLÍ DE POMERÍ, 95G;314434;1,52€/u;['Precio Oferta'];11_04_2021
